GPU: NVIDIA GeForce RTX 4090
GPU memory: 24080.88 MB
Loading existing data...
Epoch 100 / 400000 | Train Loss: 0.22252496 | Test Loss: 0.22624892 | lr: [0.0001]
Epoch 200 / 400000 | Train Loss: 0.12917793 | Test Loss: 0.13258976 | lr: [0.0001]
Epoch 300 / 400000 | Train Loss: 0.08134867 | Test Loss: 0.08284922 | lr: [0.0001]
Epoch 400 / 400000 | Train Loss: 0.05722262 | Test Loss: 0.06225434 | lr: [0.0001]
Epoch 500 / 400000 | Train Loss: 0.04422285 | Test Loss: 0.04467204 | lr: [0.0001]
Epoch 600 / 400000 | Train Loss: 0.03749944 | Test Loss: 0.03770177 | lr: [0.0001]
Epoch 700 / 400000 | Train Loss: 0.04024786 | Test Loss: 0.03296437 | lr: [0.0001]
Epoch 800 / 400000 | Train Loss: 0.02663495 | Test Loss: 0.02864385 | lr: [0.0001]
Epoch 900 / 400000 | Train Loss: 0.02555899 | Test Loss: 0.02767074 | lr: [0.0001]
Epoch 1000 / 400000 | Train Loss: 0.02364364 | Test Loss: 0.02618183 | lr: [0.0001]
Epoch 1100 / 400000 | Train Loss: 0.02264251 | Test Loss: 0.02544436 | lr: [0.0001]
Epoch 1200 / 400000 | Train Loss: 0.02586937 | Test Loss: 0.03022376 | lr: [0.0001]
Epoch 1300 / 400000 | Train Loss: 0.02165022 | Test Loss: 0.02480189 | lr: [0.0001]
Epoch 1400 / 400000 | Train Loss: 0.02053558 | Test Loss: 0.02415663 | lr: [0.0001]
Epoch 1500 / 400000 | Train Loss: 0.01969324 | Test Loss: 0.02358406 | lr: [0.0001]
Epoch 1600 / 400000 | Train Loss: 0.01885497 | Test Loss: 0.02304540 | lr: [0.0001]
Epoch 1700 / 400000 | Train Loss: 0.01804750 | Test Loss: 0.02255295 | lr: [0.0001]
Epoch 1800 / 400000 | Train Loss: 0.01726336 | Test Loss: 0.02206348 | lr: [0.0001]
Epoch 1900 / 400000 | Train Loss: 0.01658670 | Test Loss: 0.02197699 | lr: [0.0001]
Epoch 2000 / 400000 | Train Loss: 0.01580147 | Test Loss: 0.02115439 | lr: [0.0001]
Epoch 2100 / 400000 | Train Loss: 0.01620378 | Test Loss: 0.02206318 | lr: [0.0001]
Epoch 2200 / 400000 | Train Loss: 0.01398404 | Test Loss: 0.01958012 | lr: [0.0001]
Epoch 2300 / 400000 | Train Loss: 0.01461719 | Test Loss: 0.02029076 | lr: [0.0001]
Epoch 2400 / 400000 | Train Loss: 0.01208476 | Test Loss: 0.01766229 | lr: [0.0001]
Epoch 2500 / 400000 | Train Loss: 0.01109924 | Test Loss: 0.01659631 | lr: [0.0001]
Epoch 2600 / 400000 | Train Loss: 0.01036336 | Test Loss: 0.01567890 | lr: [0.0001]
Epoch 2700 / 400000 | Train Loss: 0.00997469 | Test Loss: 0.01543450 | lr: [0.0001]
