GPU: NVIDIA GeForce RTX 3080 Ti
GPU memory: 12038.19 MB
Epoch [100/200000] Training Loss: 0.00246562 Testing Loss: 0.00202393 || lr: [0.001]
Epoch [200/200000] Training Loss: 0.00006148 Testing Loss: 0.00007204 || lr: [0.001]
Epoch [300/200000] Training Loss: 0.00003540 Testing Loss: 0.00003528 || lr: [0.001]
Epoch [400/200000] Training Loss: 0.00003881 Testing Loss: 0.00003561 || lr: [0.001]
Epoch [500/200000] Training Loss: 0.00003775 Testing Loss: 0.00004760 || lr: [0.001]
Epoch [600/200000] Training Loss: 0.00007807 Testing Loss: 0.00004806 || lr: [0.001]
Epoch [700/200000] Training Loss: 0.00003513 Testing Loss: 0.00003340 || lr: [0.001]
Epoch [800/200000] Training Loss: 0.00004256 Testing Loss: 0.00004585 || lr: [0.001]
Epoch [900/200000] Training Loss: 0.00006534 Testing Loss: 0.00003876 || lr: [0.001]
Epoch [1000/200000] Training Loss: 0.00003120 Testing Loss: 0.00003274 || lr: [0.001]
Epoch [1100/200000] Training Loss: 0.00003406 Testing Loss: 0.00003393 || lr: [0.001]
Epoch [1200/200000] Training Loss: 0.00005739 Testing Loss: 0.00007221 || lr: [0.001]
Epoch [1300/200000] Training Loss: 0.00002819 Testing Loss: 0.00002831 || lr: [0.001]
Epoch [1400/200000] Training Loss: 0.00004911 Testing Loss: 0.00003072 || lr: [0.001]
Epoch [1500/200000] Training Loss: 0.00002569 Testing Loss: 0.00002586 || lr: [0.001]
Epoch [1600/200000] Training Loss: 0.00002598 Testing Loss: 0.00002702 || lr: [0.001]
Epoch [1700/200000] Training Loss: 0.00002375 Testing Loss: 0.00002391 || lr: [0.001]
Epoch [1800/200000] Training Loss: 0.00002526 Testing Loss: 0.00002553 || lr: [0.001]
Epoch [1900/200000] Training Loss: 0.00002301 Testing Loss: 0.00002314 || lr: [0.001]
Epoch [2000/200000] Training Loss: 0.00010026 Testing Loss: 0.00023761 || lr: [0.001]
Epoch [2100/200000] Training Loss: 0.00002292 Testing Loss: 0.00002307 || lr: [0.001]
Epoch [2200/200000] Training Loss: 0.00002197 Testing Loss: 0.00002205 || lr: [0.001]
Epoch [2300/200000] Training Loss: 0.00002393 Testing Loss: 0.00002296 || lr: [0.001]
Epoch [2400/200000] Training Loss: 0.00004520 Testing Loss: 0.00007035 || lr: [0.001]
Epoch [2500/200000] Training Loss: 0.00002122 Testing Loss: 0.00002141 || lr: [0.001]
Epoch [2600/200000] Training Loss: 0.00002219 Testing Loss: 0.00002683 || lr: [0.001]
Epoch [2700/200000] Training Loss: 0.00001943 Testing Loss: 0.00001953 || lr: [0.001]
Epoch [2800/200000] Training Loss: 0.00001968 Testing Loss: 0.00001961 || lr: [0.001]
Epoch [2900/200000] Training Loss: 0.00003308 Testing Loss: 0.00004728 || lr: [0.001]
Epoch [3000/200000] Training Loss: 0.00001763 Testing Loss: 0.00001821 || lr: [0.001]
Epoch [3100/200000] Training Loss: 0.00015774 Testing Loss: 0.00009159 || lr: [0.001]
Epoch [3200/200000] Training Loss: 0.00001597 Testing Loss: 0.00001616 || lr: [0.001]
Epoch [3300/200000] Training Loss: 0.00002021 Testing Loss: 0.00001834 || lr: [0.001]
Epoch [3400/200000] Training Loss: 0.00001421 Testing Loss: 0.00001439 || lr: [0.001]
Epoch [3500/200000] Training Loss: 0.00002405 Testing Loss: 0.00001974 || lr: [0.001]
Epoch [3600/200000] Training Loss: 0.00001286 Testing Loss: 0.00001309 || lr: [0.001]
Epoch [3700/200000] Training Loss: 0.00001246 Testing Loss: 0.00001251 || lr: [0.001]
Epoch [3800/200000] Training Loss: 0.00001300 Testing Loss: 0.00001375 || lr: [0.001]
Epoch [3900/200000] Training Loss: 0.00001141 Testing Loss: 0.00001153 || lr: [0.001]
Epoch [4000/200000] Training Loss: 0.00076588 Testing Loss: 0.00084338 || lr: [0.001]
Epoch [4100/200000] Training Loss: 0.00001348 Testing Loss: 0.00001367 || lr: [0.001]
Epoch [4200/200000] Training Loss: 0.00001140 Testing Loss: 0.00001154 || lr: [0.001]
Epoch [4300/200000] Training Loss: 0.00001041 Testing Loss: 0.00001054 || lr: [0.001]
Epoch [4400/200000] Training Loss: 0.00001066 Testing Loss: 0.00001056 || lr: [0.001]
Epoch [4500/200000] Training Loss: 0.00000922 Testing Loss: 0.00000934 || lr: [0.001]
Epoch [4600/200000] Training Loss: 0.00001094 Testing Loss: 0.00001078 || lr: [0.001]
Epoch [4700/200000] Training Loss: 0.00003963 Testing Loss: 0.00001831 || lr: [0.001]
Epoch [4800/200000] Training Loss: 0.00000817 Testing Loss: 0.00000831 || lr: [0.001]
Epoch [4900/200000] Training Loss: 0.00000760 Testing Loss: 0.00000773 || lr: [0.001]
Epoch [5000/200000] Training Loss: 0.00000877 Testing Loss: 0.00000872 || lr: [0.001]
Epoch [5100/200000] Training Loss: 0.00000735 Testing Loss: 0.00000756 || lr: [0.001]
Epoch [5200/200000] Training Loss: 0.00000686 Testing Loss: 0.00000704 || lr: [0.001]
Epoch [5300/200000] Training Loss: 0.00000827 Testing Loss: 0.00000797 || lr: [0.001]
